,90年,91年,92年,93年,94年,95年,96年,97年,98年,99年,100年,101年,102年,103年,104年,105年,106年,107年,108年,109年,110年,111年,112年,113年
合計,"26,998","25,647","23,311","22,154","20,962","21,151","21,620","20,691","19,403","18,530","25,132","29,498","26,710","29,024","28,987", 27992 , 25042 , 22849 ,"21,468","19,029","16,695","14,528","13,120",0
上半年合計,"13,924","12,305","11,467","10,443","10,292","10,181","10,157","10,249","9,296","8,869","11,776","13,743","13,692","13,543","14,122","13,752","12,546","11,457","10,476","9,467","8,242","7,131","7,294",
下半年合計,"13,074","13,342","11,844","11,711","10,670","10,970","11,463","10,442","10,107","9,661","13,356","15,755","13,018","15,481","14,865","14,240","12,496","11,392","10,992","9,562","8,453","7,397","5,826",
1月,"2,509","2,158","2,015","1,600","1,714","1,699","1,852","1,886","1,369","1,673","1,942","1,953","2,920","2,178","2,546", 2379 , 1932 , 2107 ,"2,102","1,507",960, 1410 , 1123 ,
2月,"2,313","1,787","1,911","1,715","1,452","1,654","1,387","1,750","1,727","1,266","1,550","2,196","2,166","2,144","2,062", 1966 , 2093 , 1779 ,"1,516","1,651","1,253", 1075 , 1017 ,
3月,"2,440","2,138","2,035","1,914","1,945","1,790","1,870","1,800","2,212","1,700","2,287","2,410","2,274","2,366","2,702", 2574 , 2537 , 2168 ,"1,732","1,661","1,602", 1330 , 1275 ,
4月,"2,246","2,187","1,942","1,814","1,619","1,612","1,653","1,643","1,080","1,395","1,867","2,241","2,134","2,428","2,245", 2130 , 1778 , 1755 ,"1,784","1,548","1,419", 1197 , 1083 ,
5月,"2,314","2,148","1,822","1,716","1,847","1,660","1,812","1,612","1,248","1,426","2,093","2,412","2,263","2,215","2,271", 2446 , 2135 , 2022 ,"1,839","1,399","1,290", 959 , 1421 ,
6月,"2,102","1,887","1,742","1,684","1,715","1,766","1,583","1,558","1,660","1,409","2,037","2,531","1,935","2,212","2,296", 2257 , 2071 , 1626 ,"1,503","1,701","1,718", 1160 , 1375 ,
7月,"2,088","2,226","1,920","1,727","1,678","1,653","1,732","1,644","1,756","1,382","1,957","2,099","2,141","2,393","2,319", 2175 , 1967 , 1885 ,"1,799","1,397","1,223", 1166 , 1386 ,
8月,"2,280","1,988","1,779","1,833","1,760","1,756","1,991","1,496","1,387","1,464","2,137","2,524","2,026","2,314","2,327", 2352 , 2044 , 1923 ,"1,718","1,398","1,319", 1261 , 1490 ,
9月,"1,818","2,066","1,957","1,909","1,755","1,770","1,488","1,620","1,597","1,660","2,550","2,452","2,009","2,516","2,303", 2176 , 2046 , 1693 ,"1,657","1,551","1,438", 1254 , 1305 ,
10月,"2,436","2,397","2,062","1,984","1,767","1,936","2,005","1,882","1,745","1,545","1,956","2,972","2,335","2,744","2,668", 2556 , 2092 , 2059 ,"2,018","1,496","1,407", 1252 , 1645 ,
11月,"2,250","2,248","1,814","2,153","1,876","1,944","2,113","2,038","1,770","1,732","2,346","2,812","2,175","2,557","2,505", 2355 , 2230 , 1928 ,"1,677","1,636","1,491", 1190 ,,
12月,"2,202","2,417","2,312","2,105","1,834","1,911","2,134","1,762","1,852","1,878","2,410","2,896","2,332","2,957","2,743", 2626 , 2117 , 1904 ,"2,123","2,084","1,575", 1274 ,,