編號,區,幼兒園名稱,幼兒園電話,幼兒園住址,核定總招收人數
1,松山區,臺北市經國三民非營利幼兒園（委託財團法人經國管理暨健康學院辦理）,(02)27564213,[105]臺北市松山區三民里18鄰民生東路5段163-1號2樓,210
2,信義區,臺北市吉中非營利幼兒園(委託財團法人台北基督教女青年會辦理),(02)2768-1159,[110]臺北市信義區四育里8鄰松隆路161號,152
3,信義區,臺北市?公非營利幼兒園（委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理）,(02)27279090,[110]臺北市信義區中行里16鄰福德街221巷15號,168
4,信義區,臺北市信中非營利幼兒園（委託財團法人福智文教基金會辦理）,(02)2720-2271,[110]臺北市信義區三張里13鄰松仁路158巷1號,106
5,大安區,臺北市正義非營利幼兒園（委託社團法人中華婦幼發展協會辦理）,(02)27726656,[106]臺北市大安區義村里15鄰忠孝東路三段216巷4弄41號1樓及2樓,144
6,大安區,臺北市懷中非營利幼兒園（委託財團法人海棠文教基金會辦理）,(02)27114688,[106]臺北市大安區義村里11鄰忠孝東路3段248巷30號,258
7,大安區,臺北市安東非營利幼兒園（委託社團法人台北市兒童托育協會辦理）,(02)27067642,[106]臺北市大安區龍陣里13鄰瑞安街75號2樓,182
8,大安區,臺北市辛亥非營利幼兒園（委託社團法人中華婦幼發展協會辦理）,(02)27322374,[106]臺北市大安區臥龍里5鄰辛亥路三段11號1樓及2樓,144
9,大安區,臺北市新安非營利幼兒園（委託社團法人台灣幼兒早期教育協會辦理）,(02)27360227,[106]臺北市大安區芳和里8鄰臥龍街129號,106
10,大安區,耕莘健康管理專科學校附設臺北市私立黃鸝鳥非營利幼兒園（臺北市政府委託辦理）,(02)23621071,[106]臺北市大安區學府里17鄰羅斯福路四段21號,76
11,大安區,臺北市族中非營利幼兒園（委託社團法人台北市教保人員協會辦理）,(02)27365861,[106]臺北市大安區學府里1鄰羅斯福路4段113巷13號,106
12,中山區,臺北市國防部大直非營利幼兒園（委託財團法人實踐大學辦理）,(02)25320398,[104]臺北市中山區大直里35鄰崇實路127號,212
13,中山區,臺北市濱江非營利幼兒園（委託社團法人台北市教保人員協會辦理）,(02)85026191,[104]臺北市中山區金泰里14鄰樂群二路262號,106
14,中正區,耕莘健康管理專科學校附設臺北市私立螢橋非營利幼兒園(臺北市政府委託辦理),(02)23621061,[100]臺北市中正區林興里8鄰汀洲路三段4號,106
15,大同區,臺北市重慶非營利幼兒園（委託財團法人彭婉如文教基金會辦理）,(02)25918330,[103]臺北市大同區至聖里10鄰大龍街187巷1號1,84
16,大同區,臺北市大龍峒非營利幼兒園（委託財團法人台北基督教女青年會辦理）,(02)25922221,[103]臺北市大同區老師里13鄰重慶北路3段320號（臺北市立啟聰學校內）,106
17,萬華區,臺北市雙中非營利幼兒園（委託財團法人台北市中華基督教青年會辦理）,(02)2336-3258,[108]臺北市萬華區和德里21鄰興義街2號,136
18,萬華區,財團法人海棠文教基金會附設臺北市私立國興非營利幼兒園(臺北市政府委託辦理),(02)2303-8164,[108]臺北市萬華區凌霄里10鄰國興路46號1樓及2樓,138
19,文山區,臺北市景新非營利幼兒園(委託社團法人台北市兒童托育協會辦理),(02)29328566,[116]臺北市文山區景行里22鄰景後街151號2樓,120
20,文山區,臺北市文修非營利幼兒園（委託財團法人三之三生命教育基金會辦理）,(02)29355633,[116]臺北市文山區萬祥里1鄰興隆路一段68號(武功國小內),136
21,文山區,臺北市景美非營利幼兒園（委託財團法人台北基督教女青年會辦理）,(02)29304824,[116]臺北市文山區興業里1鄰興隆路二段160-1號1樓及2樓,213
22,文山區,臺北市興福非營利幼兒園（委託財團法人三之三生命教育基金會辦理）,(02)29306640,[116]臺北市文山區興旺里14鄰福興路80號,106
23,文山區,臺北市永建非營利幼兒園（委託社團法人台北市教保人員協會辦理）,(02)22347257,[116]臺北市文山區華興里7鄰木柵路一段311巷1號,106
24,文山區,臺北市樟新非營利幼兒園（委託社團法人台北市兒童托育協會辦理）,(02)86612696#7,[116]臺北市文山區樟新里9鄰一壽街22號1樓及2樓,274
25,文山區,社團法人台北市兒童托育協會附設臺北市私立實踐非營利幼兒園（臺北市政府委託辦理）,(02)29390246,[116]臺北市文山區樟文里4鄰忠順街一段4號1樓,90
26,南港區,臺北市向陽非營利幼兒園（委託社團法人嬰幼兒教育與家庭發展協會辦理）,(02)2785-6151,[115]臺北市南港區西新里1鄰向陽路31號,106
27,南港區,臺北市胡適非營利幼兒園（委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理）,(02)26513362,[115]臺北市南港區中研里10鄰舊莊街一段1號1樓,90
28,南港區,臺北市港福非營利幼兒園(委託中華學校財團法人辦理),(02)26543767,[115]臺北市南港區仁福里6鄰福德街373巷43號1樓,136
29,內湖區,臺北市西中非營利幼兒園(委託財團法人靖娟兒童安全文教基金會辦理),(02)2797-0700,[114]臺北市內湖區西湖里2鄰環山路一段27號,152
30,內湖區,社團法人臺北市幼托協會附設臺北市私立星雲非營利幼兒園（臺北市政府委託辦理）,(02)87918776,[114]臺北市內湖區清白里4鄰星雲街161巷3號2樓,85
31,內湖區,臺北市新東湖非營利幼兒園(委託社團法人台北市幼兒園協會辦理),(02)26327828,[114]臺北市內湖區東湖里10鄰康樂街110巷16弄22號1.2樓,150
32,內湖區,財團法人福智文教基金會附設臺北市私立妙善非營利幼兒園（臺北市政府委託辦理）潭美分班,(02)2790-6877,[114]臺北市內湖區週美里21鄰行善路179號,16
33,內湖區,財團法人福智文教基金會附設臺北市私立妙善非營利幼兒園（臺北市政府委託辦理）,(02)27921389,[114]臺北市內湖區行善里18鄰行善路25巷13號1樓,89
34,內湖區,財團法人福智文教基金會附設臺北市私立妙善非營利幼兒園（臺北市政府委託辦理）行善分班,(02)2792-1389,[114]臺北市內湖區行善里21鄰行善路25巷11號1、2樓,60
35,內湖區,臺北市三民亦禮非營利幼兒園（委託財團法人中華民國唐氏症基金會辦理）,(02)2796-8321,[114]臺北市內湖區湖興里13鄰民權東路六段45號,106
36,內湖區,臺北市康寧非營利幼兒園（委託財團法人幼兒教育基金會辦理）,(02)26319818,[114]臺北市內湖區康寧里18鄰康寧路三段189巷93弄18號1樓,76
37,士林區,臺北市泰北非營利幼兒園(委託財團法人三之三生命教育基金會辦理),(02)28828633,[111]臺北市士林區福林里3鄰福林路240號,106
38,士林區,臺北市葫蘆非營利幼兒園（委託社團法人台灣公共托育協會辦理）,(02)28151220,[111]臺北市士林區福順里15鄰延平北路5段136巷1號1.2樓,150
39,士林區,臺北市三玉非營利幼兒園（委託社團法人台北市幼兒園協會辦理）,(02)88661016,[111]臺北市士林區三玉里14鄰忠誠路二段53巷7號1、2樓,198
40,士林區,臺北市新三玉非營利幼兒園(委託財團法人毛毛蟲兒童哲學基金會辦理),(02)28742988,[111]臺北市士林區三玉里1鄰天母東路116號,106
41,士林區,臺北市天母非營利幼兒園（委託社團法人台北市幼兒園協會辦理）,(02)28772327,[111]臺北市士林區天玉里3鄰天玉街12號,90
42,北投區,臺北市吉利非營利幼兒園(委託社團法人台北市親子成長協會辦理),(02)28200118,[112]臺北市北投區立農里25鄰立農街一段366號1至3樓,147
,"","","",合計核定總招收人數,5448
