編號,鄉鎮,幼兒園名稱,幼兒園電話,幼兒園住址,核定總招收人數
167,大安區,臺北市私立予心屋幼兒園,(02)27056166,[106]臺北市大安區光信里13鄰光復南路420巷19號1樓,40
168,大安區,財團法人臺灣大學校園建設基金會附設臺北市私立幼兒園,(02)33664428,[106]臺北市大安區學府里17鄰基隆路四段144巷59弄12號1樓,120
169,中山區,臺北市私立日光貝比幼兒園,(02)25717858,[104]臺北市中山區集英里12鄰中山北路二段116巷9號2樓,150
170,中山區,實踐大學附設臺北市私立幼兒園,(02)25336078,[104]臺北市中山區大直里35鄰大直街70號1樓,20
171,中山區,臺北市私立山秀幼兒園,(02)85021798,[104]臺北市中山區成功里13鄰明水路606巷16號2樓及18號1至2樓,99
172,中山區,臺北市私立國際蒙特梭利幼兒園,(02)85021622,[104]臺北市中山區成功里14鄰樂群二路128號1樓,161
173,中山區,臺北市私立喬可幼兒園,(02)25329555,[104]臺北市中山區永安里34鄰北安路554巷19號,40
174,中山區,臺北市私立傑聲幼兒園,(02)25328550,[104]臺北市中山區永安里30鄰明水路397巷2弄10、12號1、2樓,98
175,中山區,臺北市私立河岸小百合蒙特梭利幼兒園,(02)25322766,[104]臺北市中山區永安里32鄰明水路397巷19弄18號1樓、18之2號1樓、20號1樓、18號2樓之1及18號2樓之2,68
176,中山區,臺北市私立大智幼兒園,(02)25320696,[104]臺北市中山區永安里28鄰明水路397巷7弄24號1樓,40
177,中山區,臺北市私立蒙特梭利花園幼兒園,(02)25329338,[104]臺北市中山區永安里28鄰明水路397巷7弄2號及2之1號1樓,40
178,中山區,臺北市私立新自立全人幼兒園,(02)25964546,[104]臺北市中山區新喜里11鄰德惠街150號2樓及152號1、2樓,75
179,中山區,臺北市私立新自立幼兒園,(02)25964546,[104]臺北市中山區新喜里11鄰吉林路407巷7號1樓,60
180,中山區,臺北市私立嘉霖幼兒園,(02)25927525,[104]臺北市中山區新福里5鄰民權東路2段107號2樓、3樓、3樓之1、2、3,220
181,中山區,臺北市私立道明幼兒園,(02)25942294#1061,[104]臺北市中山區新福里11鄰吉林路378號1、2樓,270
182,中山區,臺北市私立大愛幼兒園,(02)25023200,[104]臺北市中山區松江里11鄰松江路221巷15號1樓,31
183,中山區,臺北市私立正光幼兒園,(02)25223774,[104]臺北市中山區新生里2鄰松江路362巷13、15、17、19號1樓,38
184,中山區,臺北市私立新生幼兒園,(02)25414534,[104]臺北市中山區中庄里4鄰新生北路2段125號1、2樓,390
185,中山區,臺北市私立立興幼兒園,(02)25034564,[104]臺北市中山區行仁里10鄰龍江路342巷37號1樓及356巷48號1樓,240
186,中山區,臺北市私立小甜甜幼兒園,(02)25052178,[104]臺北市中山區行仁里1鄰五常街51號1樓,90
187,中山區,有限責任臺北市立五常國民中學員生消費合作社附設臺北市私立員工子女幼兒園,(02)25048846,[104]臺北市中山區下埤里3鄰復興北路430巷1號1樓,40
188,中山區,臺北市私立五常幼兒園,(02)25025750,[104]臺北市中山區下埤里7鄰龍江路377巷24號1樓,60
189,中山區,臺北市私立龍江幼兒園,(02)25097435,[104]臺北市中山區下埤里9鄰龍江路397巷12號1樓,20
190,中山區,臺北市私立喬幼國際幼兒園,(02)25181888,[104]臺北市中山區下埤里2鄰民權東路三段63、65、67號2樓至3樓,99
191,中山區,臺北市私立幼馨幼兒園,(02)25080977,[104]臺北市中山區江寧里5鄰合江街180巷19號1樓,19
192,中山區,臺北市私立友丞幼兒園,(02)25093438,[104]臺北市中山區江山里26鄰錦州街452號1、2樓,40
193,中山區,臺北市私立韋斯登幼兒園,(02)25081568,[104]臺北市中山區江山里11鄰合江街73巷33號1樓,24
194,中山區,臺北市私立宜家蒙特梭利幼兒園,(02)25023113,[104]臺北市中山區江山里20鄰龍江路271巷5號1樓,28
195,中山區,臺北市私立愛迪兒幼兒園,(02)25222745,[104]臺北市中山區中吉里16鄰松江路170巷17號2樓,33
196,中山區,臺北市私立松江蒙特梭利幼兒園,(02)25639885,[104]臺北市中山區中吉里1鄰松江路124巷21、23、25號,98
197,中山區,臺北市私立加楓國際蒙特梭利幼兒園,(02)25419969,[104]臺北市中山區中吉里19鄰松江路188巷9號及9之1號1樓,30
198,中山區,臺北市私立喬幼一江幼兒園,(02)25628898,[104]臺北市中山區中吉里2鄰一江街21號1樓及2樓,41
199,中山區,臺北市私立科見幼兒園,(02)25641420,[104]臺北市中山區興亞里16鄰松江路90巷9號2樓,75
200,中山區,臺北市私立笙愛幼兒園,(02)25818356,[104]臺北市中山區興亞里14鄰松江路78巷8號1樓至2樓,35
201,中山區,臺北市私立小伊園幼兒園,(02)25167861,[104]臺北市中山區中央里13鄰伊通街27之1號1樓,28
202,中山區,臺北市私立建國幼兒園,(02)25075564,[104]臺北市中山區中央里10鄰建國北路二段6巷1號1樓至4樓,90
203,中山區,臺北市私立荳荳園幼兒園,(02)27771300,[104]臺北市中山區力行里5鄰龍江路31號2樓,40
204,中山區,臺北市私立晨星蒙特梭利幼兒園,(02)25047216,[104]臺北市中山區復華里12鄰龍江路114巷6號1樓,32
205,中山區,臺北市私立蒙特梭利快樂園幼兒園,(02)25337952,[104]臺北市中山區金泰里3鄰樂群二路188、190號1樓,34
206,中山區,臺北市私立蒙特梭利欣兒園幼兒園,(02)85021515,[104]臺北市中山區金泰里14鄰堤頂大道2段342、344號1、2樓、1樓夾層,63
207,中山區,臺北市私立艾達幼兒園,(02)85011373,[104]臺北市中山區金泰里14鄰堤頂大道二段282、284、286號1樓、1樓夾層,69
208,中山區,臺北市私立蘊品幼兒園,(02)25322793,[104]臺北市中山區金泰里13鄰基湖路147號1樓,37
209,中正區,國防醫學院附設臺北市私立愛德幼兒園,(02)23686489,[100]臺北市中正區富水里11鄰汀州路3段24巷5弄12號1樓\39號1.2樓\41號1樓\43號1樓,108
210,中正區,財團法人台北市私立強恕高級中學附設臺北市私立幼兒園,(02)23680818,[100]臺北市中正區板溪里14鄰汀州路二段143號1樓,150
211,中正區,臺北市私立聯華幼兒園,(02)23078855,[100]臺北市中正區永昌里18鄰南海路110之1號1樓,90
212,中正區,臺北市私立寶貝幼兒園,(02)23053874,[100]臺北市中正區永昌里6鄰寧波西街181巷44號1、2樓,31
213,中正區,臺北市私立乖乖幼兒園,(02)23033807,[100]臺北市中正區永昌里18鄰南海路96之1及96之2號1至2樓,120
214,中正區,臺北市私立百家姓幼兒園,(02)23810932,[100]臺北市中正區愛國里10鄰延平南路248巷3號1樓及中華路二段75巷22號1樓,40
215,中正區,臺北市私立維格幼兒園,(02)23816101,[100]臺北市中正區南門里3鄰廣州街8巷13號1樓,17
216,中正區,臺北市私立南門幼兒園,(02)23910571,[100]臺北市中正區南福里15鄰重慶南路三段27巷4號1樓,35
217,中正區,臺北市私立智寶園幼兒園,(02)23560362,[100]臺北市中正區南福里2鄰羅斯福路2段50號2樓之1及2樓之2,39
218,中正區,財團法人信誼基金會附設臺北市私立實驗幼兒園,(02)23965305#1023,[100]臺北市中正區龍福里21鄰重慶南路二段75號2樓,64
219,中正區,財團法人中華基督教衛理公會附設臺北市私立城中衛理幼兒園,(02)23952273,[100]臺北市中正區新營里6鄰寧波東街9巷6號1樓,90
220,中正區,臺北市私立中正區清華幼兒園,(02)23118221,[100]臺北市中正區建國里2鄰貴陽街一段58號,180
221,中正區,法務部附設臺北市私立員工子女幼兒園,(02)23713445,[100]臺北市中正區建國里4鄰重慶南路1段136巷2號1樓,70
222,中正區,臺灣高等法院附設臺北市私立員工子女幼兒園,(02)23319976,[100]臺北市中正區建國里4鄰重慶南路一段136巷4號1樓,60
223,中正區,國立臺灣大學醫學院附設醫院附設臺北市私立員工子女幼兒園,(02)23123456#67384,[100]臺北市中正區黎明里4鄰常德街1號1樓,152
224,中正區,財團法人台北基督教女青年會附設臺北市私立幼兒園,(02)23816619,[100]臺北市中正區黎明里4鄰青島西路7號2樓,106
225,中正區,臺北市私立傑瑞富幼兒園,(02)5582-5168#0208,[100]臺北市中正區梅花里6鄰忠孝東路一段9號2樓,54
226,中正區,臺北市私立涵鈺新天地幼兒園,(02)23576386,[100]臺北市中正區幸福里3鄰林森南路12號3樓之1,30
227,中正區,臺北市私立蒙特梭利童圓幼兒園,(02)23957517,[100]臺北市中正區幸市里8鄰濟南路二段54-1號1至2樓,60
228,中正區,臺北市私立巨勝幼兒園,(02)23936965,[100]臺北市中正區文北里4鄰金山南路一段67巷8號1、2樓及8之1號1樓,68
229,中正區,臺北市私立家緣蒙特梭利幼兒園,(02)33222686,[100]臺北市中正區文祥里15鄰杭州南路1段131巷5號1樓,30
230,中正區,臺北市私立何嘉仁臨沂幼兒園,(02)23919678,[100]臺北市中正區三愛里28鄰臨沂街65巷1號1樓、2樓、3樓,181
231,大同區,財團法人陳德星堂附設臺北市私立德星幼兒園,(02)25567150#16,[103]臺北市大同區星明里7鄰寧夏路27號1樓,150
232,大同區,臺北市私立親兒園蒙特梭利幼兒園,(02)2559-0888,[103]臺北市大同區光能里9鄰承德路2段47號2樓及47號2樓之1,55
233,大同區,臺北市私立榮星幼兒園,(02)25536699,[103]臺北市大同區大有里15鄰歸綏街303巷9號1樓及2樓,180
234,大同區,財團法人天主教會台北教區附設臺北市私立聖心幼兒園,(02)25578119,[103]臺北市大同區雙連里27鄰民生西路245號1樓至3樓,330
235,大同區,臺北市私立水晶幼兒園,(02)25535198,[103]臺北市大同區南芳里10鄰延平北路二段272巷7號1樓,30
236,大同區,臺北市私立海桔斯幼兒園,(02)25532687,[103]臺北市大同區南芳里9鄰延平北路二段286、286之1、286之2、286之3、286之4號1樓,21
237,大同區,臺北市私立格爾登幼兒園,(02)25982833,[103]臺北市大同區蓬萊里5鄰承德路三段40號1樓,35
238,大同區,臺北市私立育學幼兒園,(02)25986967,[103]臺北市大同區揚雅里1鄰民族西路162巷3號1樓,30
239,大同區,財團法人王氏太原堂附設臺北市私立太原幼兒園,(02)25942628,[103]臺北市大同區鄰江里20鄰迪化街二段243巷2號1樓,210
240,大同區,臺北市私立博登幼兒園,(02)25871879,[103]臺北市大同區至聖里16鄰承德路三段208巷29號及33號1樓,79
241,大同區,臺北市私立甜甜屋幼兒園,(02)25960916,[103]臺北市大同區老師里8鄰重慶北路三段296巷4弄4號1樓,18
242,大同區,臺北市私立甜甜屋親子幼兒園,(02)25960916,[103]臺北市大同區老師里6鄰哈密街143之2號及143之3號1樓,20
243,大同區,臺北市私立功文雪泥幼兒園,(02)25948254,[103]臺北市大同區重慶里12鄰哈密街59巷79、81號1、2、3樓,60
244,大同區,臺北市私立功文成長幼兒園,(02)25946008,[103]臺北市大同區重慶里12鄰大同區哈密街59巷83號1-2樓,42
245,萬華區,臺北市私立聖保羅幼兒園,(02)23753690,[108]臺北市萬華區新起里22鄰長沙街2段52號1樓、2樓,35
246,萬華區,北部台灣基督長老教會艋舺教會附設臺北市私立愛心幼兒園,(02)23314921#11,[108]臺北市萬華區福音里2鄰貴陽街二段94號1樓,90
247,萬華區,財團法人天主教光仁文教基金會附設臺北市私立育仁幼兒園,(02)23040131,[108]臺北市萬華區雙園里8鄰興寧街70號,150
248,萬華區,臺北市私立娃娃果幼兒園,(02)23069008,[108]臺北市萬華區雙園里3鄰艋舺大道184號2樓及186號1、2樓,64
249,萬華區,臺北市私立青年幼兒園,(02)23370181,[108]臺北市萬華區新和里28鄰國興路90-7號1樓,26
250,萬華區,臺北市私立歡樂童年幼兒園,(02)23018609,[108]臺北市萬華區新和里25鄰中華路二段428之4號1樓,27
251,萬華區,臺北市私立小樹苗華頓幼兒園,(02)23375275,[108]臺北市萬華區新和里4鄰青年路30巷1號、30巷1之2號、30巷1之3號1樓,24
252,萬華區,臺北市私立幼佳幼兒園,(02)23026545,[108]臺北市萬華區和平里23鄰雙園街18巷12號、西藏路484號、484-1號、486號1樓,90
253,萬華區,臺北市私立大理幼兒園,(02)23044506,[108]臺北市萬華區和平里10鄰雙園街67巷3弄3、4、5、7號1樓,99
254,萬華區,臺北市私立雪拉比幼兒園,(02)23065715,[108]臺北市萬華區華江里11鄰環河南路二段250巷1號2樓、252號2樓及254號2樓,52
255,萬華區,臺北市私立英才幼兒園,(02)23072584,[108]臺北市萬華區日善里13鄰萬大路200號,90
256,萬華區,臺北市私立盈虹幼兒園,(02)23325452,[108]臺北市萬華區忠德里2鄰西園路二段207號2樓及2樓之1,33
257,萬華區,臺北市私立德昌幼兒園,(02)23395958,[108]臺北市萬華區忠德里13鄰德昌街166號2樓,25
258,萬華區,臺北市私立名人幼兒園,(02)23016998,[108]臺北市萬華區忠德里2鄰西園路2段227之1號2樓,29
259,萬華區,臺北市私立育光幼兒園,(02)23015139,[108]臺北市萬華區孝德里14鄰德昌街185巷68號、70號1樓,90
260,萬華區,臺北市私立慈愛幼兒園,(02)23078147,[108]臺北市萬華區孝德里4鄰寶興街140巷23號、27號1、2樓,60
261,萬華區,臺北市私立寧馨苑幼兒園,(02)23392488,[108]臺北市萬華區和德里1鄰西藏路239號1樓,34
262,萬華區,臺北市私立寶興幼兒園,(02)23375171,[108]臺北市萬華區銘德里3鄰寶興街228號1樓,54
263,萬華區,臺北市私立德明幼兒園,(02)23073007,[108]臺北市萬華區興德里5鄰萬大路449巷28弄3號1樓,90
264,萬華區,臺北市私立光仁國民小學附設幼兒園,(02)23032874#891,[108]臺北市萬華區興德里2鄰萬大路423巷28弄2號,360
265,萬華區,臺北市私立博愛幼兒園,(02)23072749,[108]臺北市萬華區華中里11鄰武成街28巷9弄2號,120
266,萬華區,臺北市私立何嘉仁中華幼兒園,(02)23094679,[108]臺北市萬華區騰雲里2鄰中華路二段666-12、666-13、668、670號1樓,92
267,文山區,臺北市私立立揚幼兒園,(02)29333238,[116]臺北市文山區景行里22鄰景興路258號1樓及夾層,39
268,文山區,財團法人台北市中華基督教景美浸信會附設臺北市私立聖愛幼兒園,(02)29332244,[116]臺北市文山區景美里14鄰育英街63號,60
269,文山區,臺北市私立寶馨幼兒園,(02)86635966,[116]臺北市文山區景慶里19鄰溪口街85巷7弄6號1樓,17
270,文山區,臺北市私立幼林幼兒園,(02)29326469,[116]臺北市文山區景仁里9鄰景福街31號1樓,37
271,文山區,臺北市私立書宜幼兒園,(02)89322211,[116]臺北市文山區景仁里1鄰羅斯福路六段150巷22號1、2樓,120
272,文山區,臺北市私立何嘉仁文山幼兒園,(02)29306607,[116]臺北市文山區景仁里6鄰羅斯福路六段130號1、2樓,150
273,文山區,臺北市私立巧可麗幼兒園,(02)29303077,[116]臺北市文山區景仁里10鄰景福街17、19號1樓,40
274,文山區,財團法人天主教會臺北教區附設臺北市私立若石幼兒園,(02)29328022,[116]臺北市文山區萬盛里3鄰羅斯福路五段51號1、2、3樓,240
275,文山區,臺北市私立勁寶兒公館幼兒園,(02)86631486,[116]臺北市文山區萬盛里1鄰萬盛街42號1樓,23
276,文山區,臺北市私立家家幼兒園,(02)22307500,[116]臺北市文山區興家里3鄰興隆路三段二0七巷九弄9.11號1樓,90
277,文山區,臺北市私立惠生幼兒園,(02)22308526,[116]臺北市文山區興家里12鄰興隆路三段207巷10弄1、3、9號,90
278,文山區,臺北市私立清華幼兒園,(02)29311714,[116]臺北市文山區興得里11鄰興隆路三段36巷9弄2號1樓,39
279,文山區,臺北市私立何嘉仁興隆幼兒園,(02)29310584,[116]臺北市文山區興業里7鄰興隆路二段252號2樓,100
280,文山區,臺北市私立快樂諾貝兒幼兒園,(02)29301241,[116]臺北市文山區興業里6鄰興隆路二段222之2號2樓,40
281,文山區,臺北市私立樹人幼兒園,(02)29310558,[116]臺北市文山區興福里14鄰景華街121巷17弄9號,120
282,文山區,靜心學校財團法人臺北市私立靜心高級中等學校附設幼兒園,(02)29323118#192,[116]臺北市文山區興福里17鄰興隆路二段46號,410
283,文山區,臺北市私立文山懷恩幼兒園,(02)29308618,[116]臺北市文山區興旺里22鄰福興路63巷4弄26、28號1樓,90
284,文山區,臺北市私立和楓園幼兒園,(02)29301345,[116]臺北市文山區興泰里5鄰辛亥路四段252巷1號1樓,40
285,文山區,臺北市私立彩虹屋幼兒園,(02)29354278,[116]臺北市文山區興泰里12鄰辛亥路四段130巷5號1樓,40
286,文山區,財團法人台北市中國基督教靈糧世界佈道會台北靈糧堂附設臺北市私立靈糧幼兒園,(02)86636650,[116]臺北市文山區興昌里20鄰萬美街2段80號1樓,90
287,文山區,臺北市私立南方幼兒園,(02)29328553,[116]臺北市文山區興昌里15鄰辛亥路四段21巷12及14號1樓,20
288,文山區,財團法人台北市中華基督教青年會附設臺北市私立文山幼兒園,(02)22362817,[116]臺北市文山區試院里14鄰和興路2號1樓至2樓,228
289,文山區,臺北市私立荳荳幼兒園,(02)22369488,[116]臺北市文山區試院里25鄰木柵路一段59巷2號1樓,33
290,文山區,臺北市私立比利馬幼兒園,(02)22362468,[116]臺北市文山區試院里26鄰木柵路一段87號1樓,24
291,文山區,臺北市私立中山國民小學附設幼兒園,(02)29360935#700,[116]臺北市文山區華興里28鄰木柵路1段378巷26號,270
292,文山區,私立再興高級中學附設臺北市幼兒園,(02)29366803#302,[116]臺北市文山區明義里4鄰木柵路二段1-6號1樓至3樓,540
293,文山區,臺北市私立巨星幼兒園,(02)29381987,"[116]臺北市文山區木柵里18鄰秀明路1段68,70,72號1樓",39
294,文山區,臺北市私立千千幼兒園,(02)29397502,[116]臺北市文山區木柵里3鄰木柵路三段85巷8弄5號、5-1號1樓,52
295,文山區,臺北市私立仁美幼兒園,(02)29395610,[116]臺北市文山區木柵里7鄰木柵路3段85巷14弄14號及14之1號1樓,90
296,文山區,臺北市私立三義幼兒園,(02)86619636,[116]臺北市文山區木柵里27鄰木柵路三段48巷1弄16、18、20號1樓,50
297,文山區,臺北市私立幼學館幼兒園,(02)22341515,[116]臺北市文山區木新里2鄰木新路2段130號1、2樓及132號2樓,40
298,文山區,臺北市私立幼兒館幼兒園,(02)22341515,[116]臺北市文山區木新里2鄰木新路2段128號1、2樓,34
299,文山區,臺北市私立子愛幼兒園,(02)29377790,[116]臺北市文山區順興里6鄰興隆路四段165巷3、5號1樓,20
300,文山區,臺北市私立宛的弗幼兒園,(02)29391207,[116]臺北市文山區順興里15鄰忠順街二段26及26之1號1樓至2樓,22
301,文山區,臺北市私立阿布格小科學家幼兒園,(02)86613011,[116]臺北市文山區順興里5鄰興隆路四段173及175號1樓至2樓,91
302,文山區,臺北市私立全能幼兒園,(02)29367367,[116]臺北市文山區樟新里18鄰樟新街26號1樓,30
303,文山區,臺北市私立吉太幼兒園,(02)29392220,[116]臺北市文山區樟腳里13鄰木新路三段45巷7弄8、10、12號1樓,60
304,文山區,臺北市私立頌恩幼兒園,(02)22305679,[116]臺北市文山區萬芳里12鄰萬安街91號及93號1樓,53
305,文山區,財團法人台北市華亞之聲社中華基督教便以利教會附設臺北市私立華聲幼兒園,(02)29392038,[116]臺北市文山區萬興里11鄰指南路2段11號1樓,235
306,文山區,臺北市私立台北紐西蘭幼兒園,(02)86611156,[116]臺北市文山區萬興里37鄰政大1街19號1樓至4樓,140
307,文山區,臺北市私立文山仁和幼兒園,(02)29364473,[116]臺北市文山區樟文里1鄰忠順街一段10巷11.13.15號1至2樓,133
308,文山區,臺北市私立諾貝兒幼兒園,(02)29351301,[116]臺北市文山區興邦里16鄰興隆路二段203巷112及114號1樓,22
309,文山區,.臺北市私立滬江高級中學附設幼兒園,(02)86631122,[116]臺北市文山區景美里1鄰羅斯福路六段336號1樓至3樓,212
310,南港區,臺北市私立咪咪陳幼兒園,(02)27820568,[115]臺北市南港區三重里22鄰重陽路551號1樓,30
311,南港區,臺北市私立東美幼兒園,(02)27868833,[115]臺北市南港區東新里8鄰興南街52巷29、29-1、31、31-1號,90
312,南港區,臺北市私立何嘉仁南港幼兒園,(02)27890198,[115]臺北市南港區東明里15鄰興華路18.20.22.24號1樓至2樓,46
313,南港區,財團法人國光慈善事業基金會附設臺北市私立三軍幼兒園,(02)27858410#27,[115]臺北市南港區東明里5鄰南港路二段146號1樓,300
314,南港區,臺北市私立達芬奇多元智能幼兒園,(02)27881098,[115]臺北市南港區東明里15鄰興華路32號1至4樓,30
315,南港區,臺北市私立甘霖幼兒園,(02)27826308,[115]臺北市南港區東明里16鄰南港路二段30、32號3樓至4樓及34、34之1號1樓至4樓,48
316,南港區,世平興業股份有限公司附設臺北市私立員工子女幼兒園,(02)26530137,[115]臺北市南港區西新里8鄰成功路一段70、72、74號1樓,140
317,南港區,臺北市立南港高級中學教師會附設臺北市私立員工子女幼兒園,(02)27837863#297,[115]臺北市南港區西新里3鄰向陽路21號1樓,40
318,南港區,臺北市私立大大樹幼兒園,(02)27851516,[115]臺北市南港區合成里8鄰玉成街46及48號1樓,61
319,南港區,臺北市私立樹德幼兒園,(02)27854601,[115]臺北市南港區成福里3鄰東新街80巷11弄2號、4號,90
320,南港區,臺北市私立傑生寶華國際幼兒園,(02)27866685,[115]臺北市南港區成福里36鄰成福路207巷7、9號1樓及211巷4號1樓,120
321,南港區,臺北市私立吉的堡小騎士幼兒園,(02)26516526,[115]臺北市南港區成福里30鄰成福路183號2樓,130
322,南港區,臺北市私立龍華幼兒園,(02)27867166,[115]臺北市南港區鴻福里12鄰玉成街247號1樓至4樓、247-1號1樓,186
323,南港區,臺北市私立海格斯大千幼兒園,(02)27868889,[115]臺北市南港區百福里2鄰福德街310巷30、32及34號1樓,120
324,南港區,臺北市私立大華幼兒園,(02)26533111,[115]臺北市南港區聯成里4鄰忠孝東路6段212巷4弄5、7及9號1樓,120
325,南港區,臺北市私立莒光幼兒園,(02)27821776,[115]臺北市南港區舊莊里10鄰舊莊街一段145巷6弄31號,120
326,南港區,臺北市私立惠群幼兒園,(02)26511256,[115]臺北市南港區舊莊里24鄰合順街8巷5弄5號1樓,16
327,南港區,臺北市私立新莒光幼兒園,(02)26510502,[115]臺北市南港區中研里3鄰研究院路2段35巷13號1樓,41
328,南港區,臺北市私立南光幼兒園,(02)27823329,[115]臺北市南港區中研里12鄰研究院路二段61巷2弄41號及43號1樓,92
329,南港區,臺北市私立欣苗幼兒園,(02)27823322,[115]臺北市南港區中研里24鄰研究院路2段12巷58弄9號,120
330,南港區,中央研究院附設臺北市私立幼兒園,(02)27871451,[115]臺北市南港區中研里20鄰研究院路2段12巷75號1樓,120
331,南港區,臺北市私立欣苗寶貝幼兒園,(02)27823322,[115]臺北市南港區中研里22鄰研究院路二段34巷15號1樓,17
332,南港區,臺北市私立大方凌雲幼兒園,(02)27820190,[115]臺北市南港區九如里12鄰研究院路三段2巷2、6、8號1樓,62
